Áa,à
Âa,á
ÂA,Á
Äa,ã
ÄA,Ã
Ãa,â
ÃA,Â
Åa,ā
ÅA,Ā
Âc,ć
ÂC,Ć
Ãc,ĉ
ÃC,Ĉ
Áe,è
ÁE,È
Âe,é
ÂE,É
Ãe,ê
ÃE,Ê
Åe,ē
ÅE,Ē
Æa,ă
ÆA,Ă
Æg,ğ
ÆG,Ğ
Æu,ŭ
ÆU,Ŭ
Âg,ģ
Ãg,ĝ
ÃG,Ĝ
Ãh,ĥ
ÃH,Ĥ
Ái,ì
ÁI,Ì
Âi,í
ÂI,Í
Äi,ĩ
ÄI,Ĩ
Ãi,î
ÃI,Î
Åi,ī
ÅI,Ī
Ãj,ĵ
ÃJ,Ĵ
Âl,ĺ
ÂL,Ĺ
Ân,ń
ÂN,Ń
Än,ñ
ÄN,Ñ
Áo,ò
ÁO,Ò
Âo,ó
ÂO,Ó
Äo,õ
ÄO,Õ
Ão,ô
ÃO,Ô
Åo,ō
ÅO,Ō
Âr,ŕ
ÂR,Ŕ
Âs,ś
ÂS,Ś
Ãs,ŝ
ÃS,Ŝ
Áu,ù
ÁU,Ù
Âu,ú
ÂU,Ú
Äu,ũ
ÄU,Ũ
Ãu,û
ÃU,Û
Åu,ū
ÅU,Ū
Ãw,ŵ
ÃW,Ŵ
Ây,ý
ÂY,Ý
Ãy,ŷ
ÃY,Ŷ
Âz,ź
ÂZ,Ź
Çc,ċ
ÇC,Ċ
Çe,ė
ÇE,Ė
Çg,ġ
ÇG,Ġ
ÇI,İ
Çz,ż
ÇZ,Ż
Èa,ä
ÈA,Ä
Êa,å
ÊA,Å
Ëc,ç
ËC,Ç
Èe,ë
ÈE,Ë
ËG,Ģ
Èi,ï
ÈI,Ï
Ëk,ķ
ËK,Ķ
Ël,ļ
ËL,Ļ
Ën,ņ
ËN,Ņ
Èo,ö
ÈO,Ö
Ër,ŗ
ËR,Ŗ
Ës,ş
ËS,Ş
Ët,ţ
ËT,Ţ
Èu,ü
ÈU,Ü
Êu,ů
ÊU,Ů
Èy,ÿ
ÈY,Ÿ
Îa,ą
ÎA,Ą
Ïc,č
ÏC,Č
Ïd,ď
ÏD,Ď
Îe,ę
ÎE,Ę
Ïe,ě
ÏE,Ě
Îi,į
ÎI,Į
Ïl,ľ
ÏL,Ľ
Ïn,ň
ÏN,Ň
Ío,ő
ÍO,Ő
Ïr,ř
ÏR,Ř
Ïs,š
ÏS,Š
Ït,ť
ÏT,Ť
Íu,ű
ÍU,Ű
Îu,ų
ÎU,Ų
Ïz,ž
ÏZ,Ž
á,Æ
ñ,æ
õ,ı
û,ß
è,Ł
ø,ł
ù,ø
